Experiment,Accuracy,Kappa,Dataset,DR Method,N Components,Model,Class,IoU Score
IndianPines_Corr_15_mou,80.61304178055447,0.7786209420753469,IndianPines,Corr,15,mou,Undefined,0.0
IndianPines_Corr_15_hamida,87.10118060298566,0.8523989984048974,IndianPines,Corr,15,hamida,Undefined,0.0
IndianPines_Corr_15_li,75.9683871597229,0.7224235959099142,IndianPines,Corr,15,li,Undefined,0.0
IndianPines_Corr_15_paoletti,79.88096399648747,0.7691164614355241,IndianPines,Corr,15,paoletti,Undefined,0.0
IndianPines_Corr_30_mou,82.67148014440433,0.802127779615542,IndianPines,Corr,30,mou,Undefined,0.0
IndianPines_Corr_30_hamida,92.057761732852,0.909605365164133,IndianPines,Corr,30,hamida,Undefined,0.0
IndianPines_Corr_30_li,64.17211435261977,0.5880886575124726,IndianPines,Corr,30,li,Undefined,0.0
IndianPines_Corr_30_paoletti,83.47155820080008,0.8117294431428873,IndianPines,Corr,30,paoletti,Undefined,0.0
Salinas_PCA_8_mou,95.81185686046295,0.9535038610364668,Salinas,PCA,8,mou,Brocoli_green_weeds_1,0.9527127924340468
Salinas_PCA_8_hamida,95.27609968778287,0.9475217190228752,Salinas,PCA,8,hamida,Brocoli_green_weeds_1,0.9527127924340468
Salinas_PCA_8_li,95.15786362208796,0.9462011439974076,Salinas,PCA,8,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_PCA_8_paoletti,95.38694599937187,0.94877708562441,Salinas,PCA,8,paoletti,Brocoli_green_weeds_1,0.9527127924340468
Salinas_PCA_15_mou,87.64063625782852,0.8627236823365421,Salinas,PCA,15,mou,Brocoli_green_weeds_1,0.9366093366093367
Salinas_PCA_15_hamida,95.03223780228711,0.9447779326952584,Salinas,PCA,15,hamida,Brocoli_green_weeds_1,0.9527127924340468
Salinas_PCA_15_li,94.96942489238673,0.9441535283965734,Salinas,PCA,15,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_PCA_15_paoletti,90.72955347410814,0.8969267282841452,Salinas,PCA,15,paoletti,Brocoli_green_weeds_1,0.8751714677640604
Salinas_PCA_30_mou,94.55375122392802,0.9395385003989776,Salinas,PCA,30,mou,Brocoli_green_weeds_1,0.9527127924340468
Salinas_PCA_30_hamida,96.3531563487225,0.9594753605012114,Salinas,PCA,30,hamida,Brocoli_green_weeds_1,0.9527127924340468
Salinas_PCA_30_li,96.47323985294388,0.9608484894006244,Salinas,PCA,30,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_PCA_30_paoletti,96.72449149254558,0.9636007367172535,Salinas,PCA,30,paoletti,Brocoli_green_weeds_1,0.9527127924340468
Salinas_FastICA_8_mou,94.70708862162611,0.941202169338649,Salinas,FastICA,8,mou,Brocoli_green_weeds_1,0.9522150323544052
Salinas_FastICA_8_hamida,94.63688595761975,0.940396521110296,Salinas,FastICA,8,hamida,Brocoli_green_weeds_1,0.9527127924340468
Salinas_FastICA_8_li,95.58831679875853,0.9509540232236736,Salinas,FastICA,8,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_FastICA_8_paoletti,93.42127140719391,0.9269967900574316,Salinas,FastICA,8,paoletti,Brocoli_green_weeds_1,0.9527127924340468
Salinas_FastICA_15_mou,93.80184374364944,0.9311943981741786,Salinas,FastICA,15,mou,Brocoli_green_weeds_1,0.9522150323544052
Salinas_FastICA_15_hamida,94.49278575255408,0.9387612648112228,Salinas,FastICA,15,hamida,Brocoli_green_weeds_1,0.9477611940298507
Salinas_FastICA_15_li,20.512109959541096,0.0018075733304797,Salinas,FastICA,15,li,Brocoli_green_weeds_1,0.0
Salinas_FastICA_15_paoletti,96.86674425908478,0.9651885980139512,Salinas,FastICA,15,paoletti,Brocoli_green_weeds_1,0.9527127924340468
Salinas_FastICA_30_mou,95.29272663452124,0.9477115494574312,Salinas,FastICA,30,mou,Brocoli_green_weeds_1,0.944142362827484
Salinas_FastICA_30_hamida,96.36608841840788,0.9596264336737892,Salinas,FastICA,30,hamida,Brocoli_green_weeds_1,0.9527127924340468
Salinas_FastICA_30_li,97.01269190267692,0.9668100793499926,Salinas,FastICA,30,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_FastICA_30_paoletti,95.4165050157956,0.9490577662153784,Salinas,FastICA,30,paoletti,Brocoli_green_weeds_1,0.9512195121951219
Salinas_UMAP_8_mou,93.7501154649079,0.9305530577775142,Salinas,UMAP,8,mou,Brocoli_green_weeds_1,0.9507217521154804
Salinas_UMAP_8_hamida,93.73533595669603,0.9304202170627176,Salinas,UMAP,8,hamida,Brocoli_green_weeds_1,0.9522150323544052
Salinas_UMAP_8_li,94.1306878013634,0.934772646487056,Salinas,UMAP,8,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_UMAP_8_paoletti,93.8720464076558,0.9319821075521212,Salinas,UMAP,8,paoletti,Brocoli_green_weeds_1,0.9502487562189055
Salinas_UMAP_15_mou,93.83509763712613,0.9315444344508168,Salinas,UMAP,15,mou,Brocoli_green_weeds_1,0.9527127924340468
Salinas_UMAP_15_hamida,93.16817232906575,0.9241719536285936,Salinas,UMAP,15,hamida,Brocoli_green_weeds_1,0.9522150323544052
Salinas_UMAP_15_li,94.38932919507104,0.9376763493000768,Salinas,UMAP,15,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_UMAP_15_paoletti,94.59624231003714,0.939990311036462,Salinas,UMAP,15,paoletti,Brocoli_green_weeds_1,0.9527127924340468
Salinas_UMAP_30_mou,94.51864989192484,0.93916691546595,Salinas,UMAP,30,mou,Brocoli_green_weeds_1,0.9527127924340468
Salinas_UMAP_30_hamida,94.18980583421089,0.9354618351136212,Salinas,UMAP,30,hamida,Brocoli_green_weeds_1,0.9527127924340468
Salinas_UMAP_30_li,94.775443847106,0.9420041791337388,Salinas,UMAP,30,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_UMAP_30_paoletti,94.9047645439598,0.9433908513933889,Salinas,UMAP,30,paoletti,Brocoli_green_weeds_1,0.9527127924340468
Salinas_DiffMaps_8_mou,89.54349794010605,0.8838721896091053,Salinas,DiffMaps,8,mou,Brocoli_green_weeds_1,0.9402687904430065
Salinas_DiffMaps_8_hamida,83.58735613072476,0.8169301330683576,Salinas,DiffMaps,8,hamida,Brocoli_green_weeds_1,0.9303135888501742
Salinas_DiffMaps_8_li,84.15267231982855,0.8236828077547507,Salinas,DiffMaps,8,li,Brocoli_green_weeds_1,0.9392732702837232
Salinas_DiffMaps_8_paoletti,87.45219752812726,0.8607079405018826,Salinas,DiffMaps,8,paoletti,Brocoli_green_weeds_1,0.9372822299651568
Salinas_DiffMaps_15_mou,20.512109959541096,0.0018075733304797,Salinas,DiffMaps,15,mou,Brocoli_green_weeds_1,0.0
Salinas_DiffMaps_15_hamida,20.512109959541096,0.0018075733304797,Salinas,DiffMaps,15,hamida,Brocoli_green_weeds_1,0.0
Salinas_DiffMaps_15_li,20.512109959541096,0.0018075733304797,Salinas,DiffMaps,15,li,Brocoli_green_weeds_1,0.0
Salinas_DiffMaps_15_paoletti,20.512109959541096,0.0018075733304797,Salinas,DiffMaps,15,paoletti,Brocoli_green_weeds_1,0.0
Salinas_DiffMaps_30_mou,20.512109959541096,0.0018075733304797,Salinas,DiffMaps,30,mou,Brocoli_green_weeds_1,0.0
Salinas_DiffMaps_30_hamida,20.512109959541096,0.0018075733304797,Salinas,DiffMaps,30,hamida,Brocoli_green_weeds_1,0.0
Salinas_DiffMaps_30_li,20.512109959541096,0.0018075733304797,Salinas,DiffMaps,30,li,Brocoli_green_weeds_1,0.0
Salinas_DiffMaps_30_paoletti,20.512109959541096,0.0018075733304797,Salinas,DiffMaps,30,paoletti,Brocoli_green_weeds_1,0.0
Salinas_SOM_8_mou,88.8839623861516,0.8763875674161427,Salinas,SOM,8,mou,Brocoli_green_weeds_1,0.8652153774895786
Salinas_SOM_8_hamida,90.06632304310074,0.8895232398540588,Salinas,SOM,8,hamida,Brocoli_green_weeds_1,0.9517172722747635
Salinas_SOM_8_li,87.92329435238042,0.865799674621665,Salinas,SOM,8,li,Brocoli_green_weeds_1,0.9517172722747635
Salinas_SOM_8_paoletti,81.80827282972159,0.7970278214960465,Salinas,SOM,8,paoletti,Brocoli_green_weeds_1,0.8288723124177271
Salinas_SOM_15_mou,92.02276044264627,0.9112622478234128,Salinas,SOM,15,mou,Brocoli_green_weeds_1,0.8768356229275225
Salinas_SOM_15_hamida,94.13438267841636,0.9347639168772374,Salinas,SOM,15,hamida,Brocoli_green_weeds_1,0.8994524639123942
Salinas_SOM_15_li,93.41018677603503,0.9268432383698966,Salinas,SOM,15,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_SOM_15_paoletti,93.10905429621828,0.9233548332143872,Salinas,SOM,15,paoletti,Brocoli_green_weeds_1,0.9429563492063492
Salinas_SOM_30_mou,92.73956659092168,0.919268121583719,Salinas,SOM,30,mou,Brocoli_green_weeds_1,0.8811607554122525
Salinas_SOM_30_hamida,95.08950839660812,0.9453859484448108,Salinas,SOM,30,hamida,Brocoli_green_weeds_1,0.9527127924340468
Salinas_SOM_30_li,95.14308411387611,0.9460446680525728,Salinas,SOM,30,li,Brocoli_green_weeds_1,0.9527127924340468
Salinas_SOM_30_paoletti,93.07764784126807,0.9231241013751774,Salinas,SOM,30,paoletti,Brocoli_green_weeds_1,0.8987221959299574
Salinas_Corr_8_mou,92.30911341425114,0.9145756939223116,Salinas,Corr,8,mou,Brocoli_green_weeds_1,0.9527127924340468
Salinas_Corr_8_hamida,89.47883759167914,0.8829465414200207,Salinas,Corr,8,hamida,Brocoli_green_weeds_1,0.9474467030242935
Salinas_Corr_8_li,91.23205675331154,0.902810949324002,Salinas,Corr,8,li,Brocoli_green_weeds_1,0.9517172722747635
Salinas_Corr_8_paoletti,90.06447560457426,0.889850285359872,Salinas,Corr,8,paoletti,Brocoli_green_weeds_1,0.9517412935323383
Salinas_Corr_15_mou,91.41680060595984,0.904733250759204,Salinas,Corr,15,mou,Brocoli_green_weeds_1,0.9512680258577823
Salinas_Corr_15_hamida,90.42103124018548,0.8936896295653267,Salinas,Corr,15,hamida,Brocoli_green_weeds_1,0.9527127924340468
