Experiment,Accuracy,Kappa,Dataset,DR Method,N Components,Model,Class,IoU Score
IndianPines_Corr_15_paoletti,79.59781335415853,0.7657247463497856,IndianPines,Corr,15.0,paoletti,Alfalfa,
IndianPines_Corr_30_mou,83.19992190550566,0.8077970142821824,IndianPines,Corr,30.0,mou,Alfalfa,
IndianPines_Corr_30_hamida,93.64506052323313,0.9275930392579986,IndianPines,Corr,30.0,hamida,Alfalfa,
IndianPines_Corr_30_li,65.08199921905506,0.5938217990604873,IndianPines,Corr,30.0,li,Alfalfa,
IndianPines_Corr_30_paoletti,77.4599765716517,0.7412873835276772,IndianPines,Corr,30.0,paoletti,Alfalfa,
IndianPines_Var_8_mou,76.14213197969544,0.72629081186898,IndianPines,Var,8.0,mou,Alfalfa,
IndianPines_Var_8_hamida,80.0761421319797,0.7725674396478752,IndianPines,Var,8.0,hamida,Alfalfa,
IndianPines_Var_8_li,87.9832096837173,0.8627414286537316,IndianPines,Var,8.0,li,Alfalfa,
IndianPines_Var_8_paoletti,80.72042171026943,0.7806533474858448,IndianPines,Var,8.0,paoletti,Alfalfa,
IndianPines_Var_15_mou,87.37797735259664,0.8560231027541741,IndianPines,Var,15.0,mou,Alfalfa,
IndianPines_Var_15_hamida,94.8945724326435,0.9419414392038686,IndianPines,Var,15.0,hamida,Alfalfa,
IndianPines_Var_15_li,89.94533385396329,0.8853545841161838,IndianPines,Var,15.0,li,Alfalfa,
IndianPines_Var_15_paoletti,85.84537290121047,0.8383699093167247,IndianPines,Var,15.0,paoletti,Alfalfa,
IndianPines_Var_30_mou,85.88442014837955,0.8392104321050899,IndianPines,Var,30.0,mou,Alfalfa,
IndianPines_Var_30_hamida,96.80788754392816,0.9636897337443554,IndianPines,Var,30.0,hamida,Alfalfa,
IndianPines_Var_30_li,90.9996095275283,0.8973022598602832,IndianPines,Var,30.0,li,Alfalfa,
IndianPines_Var_30_paoletti,87.22178836392034,0.8541473434009772,IndianPines,Var,30.0,paoletti,Alfalfa,
,,,,,,,Alfalfa,0.6086956521739131
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.8653846153846154
,,,,,,,Alfalfa,0.021739130434782608
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.9387755102040817
,,,,,,,Alfalfa,0.043478260869565216
,,,,,,,Alfalfa,0.21739130434782608
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.7391304347826086
,,,,,,,Alfalfa,0.17857142857142858
,,,,,,,Alfalfa,0.6938775510204082
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.8695652173913043
,,,,,,,Alfalfa,0.9782608695652174
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.9782608695652174
,,,,,,,Alfalfa,0.8695652173913043
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.0
,,,,,,,Alfalfa,0.9361702127659575
,,,,,,,Alfalfa,0.2608695652173913
,,,,,,,Alfalfa,0.9347826086956522
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.5957446808510638
,,,,,,,Alfalfa,0.8085106382978723
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,1.0
,,,,,,,Alfalfa,0.9130434782608695
,,,,,,,Alfalfa,0.782608695652174
